,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332
0,33438,13151,27209,15415,49545,18571,41960,5341,37825,26236,47550,33763,7069,20712,22892,41840,19823,24130,23099,34727,19455,49358,26896,27530,19182,36306,21869,4508,3640,11920,35012,20572,8688,12128,47641,2476,28620,15762,39034,10163,47796,48294,49284,4497,5844,9151,28220,24520,41620,8451,27146,46869,34507,39359,18573,45399,30920,15010,30286,34972,22323,31364,10953,39565,45938,42944,29906,7090,16648,44536,31604,23212,22647,973,38158,43185,25784,43405,30629,2983,16843,23015,32428,22078,8787,37381,38129,39091,40360,1501,12458,40243,34397,31401,41617,13285,12362,48719,33237,49060,48871,11419,11343,46946,7766,25920,3876,31,6043,46918,46895,39346,35044,18917,10256,39945,11874,48874,14355,27858,4992,42588,13927,7895,9503,8108,14387,42169,40359,41377,37202,15307,5226,36517,43078,21009,37541,8021,30153,8998,23837,35885,6890,39416,24965,15960,26751,41958,3345,25003,42215,36950,49910,29121,9547,16963,16553,15627,31795,31652,48078,21472,38572,6861,23684,26340,25346,13808,8206,45602,2666,38031,45088,27209,33108,11322,15734,14228,22140,33410,18144,4022,11486,21048,21550,39493,47739,31563,11273,23489,5787,49084,10386,24542,38599,16833,40332,19971,24281,49788,956,23869,12342,18633,32151,37050,29620,26991,14856,36821,12065,11504,23250,39561,5417,12997,28084,28349,13639,39831,8648,43678,9843,40019,13709,37473,2479,3508,48200,29073,48056,4877,42867,30886,22209,39583,47017,24397,35083,11370,28609,46305,43134,37736,7978,18597,46081,8799,44074,14426,6666,21083,7831,31415,24846,6293,46,40344,14268,32304,39006,42537,7853,36073,11269,6399,2799,46184,47813,32702,37948,26910,19766,2465,32902,17795,10308,41117,920,22008,8205,16303,34039,26151,13402,4854,6007,39900,18339,42246,14784,11090,48720,35666,49743,24043,39892,10991,13715,16327,3147,3024,4676,14460,45020,18161,9541,2132,691,41919,8486,11381,38009,23109,24415,27774,1637,1558,47074,21159,30335,4799,35335,8504,19485,29651,15044,36347,4155,27521,29171,29299,15346
1,28541,13198,23043,6858,36906,38737,21808,7037,14165,24367,24154,2259,17194,33071,48228,16294,1731,48564,19632,35317,15015,3522,42985,7644,20808,46968,43745,14330,25996,15733,21116,3513,15793,18393,15437,48193,48198,46499,20420,36101,4301,39595,37567,36143,49071,34962,19149,41699,31640,37645,32652,46711,39135,2856,44234,46932,39814,27627,622,6885,3137,17626,2441,9216,31450,40709,39696,36236,49899,47790,29394,21305,16486,20381,42804,44927,40463,6113,41240,31209,17058,25916,15428,12811,17264,48771,31483,40015,36446,15053,16189,9652,35806,33960,15510,44818,35595,24958,8864,8011,33743,32541,6349,8831,39009,9563,29984,28196,10523,9194,41913,37302,42091,6774,2287,28736,34635,30560,47079,26283,41424,25739,24974,30322,19040,23742,25018,10856,15800,39950,755,48595,22396,32051,43351,332,47037,228,2207,6556,2557,24787,48296,42458,17147,18159,35849,27643,12542,12160,1772,18261,30147,16591,33702,24978,28592,4659,30687,13341,39188,21913,20814,5491,16541,262,3780,26723,711,33141,14805,29323,5719,7506,40554,14108,10126,35184,6388,28068,12238,42449,1019,44169,14700,17834,37124,21926,48451,42765,25260,4539,33087,14326,6369,11940,8701,22783,8240,49188,33928,12470,38116,2008,42066,6023,6868,1326,37854,11889,10635,49675,25595,45967,8366,17213,4580,8769,48738,6983,1806,21496,29900,14405,10707,2599,27068,35423,5830,13109,3891,22995,14567,40261,1422,36443,14773,17688,26576,4749,767,31885,30770,31311,35313,36343,2532,33975,20959,39731,902,7380,14853,35782,31344,26034,16514,13053,41141,28278,46758,46969,10477,47132,11556,33400,22198,18289,9779,205,8280,10156,6650,19004,40649,39896,14792,6675,11057,7037,48863,656,43778,16037,31742,14762,46712,3874,24731,37771,3395,25280,3304,35302,3460,42167,47091,48320,26648,47304,2669,19942,18112,28671,23261,33107,12377,5790,44814,46355,13091,15445,8484,46934,43569,36376,36405,3007,5374,34943,14947,47819,5060,12675,18705,3357,8108,13132,22477,22992,42572,5675,32428
2,22780,41866,39541,31810,29910,47058,17033,40670,44071,13896,11586,44376,14565,37414,333,29745,36,36431,7554,33032,29022,32093,27229,421,5062,34962,10948,26116,28795,18036,21426,40258,29676,41324,25455,42219,25771,11041,38173,7684,15026,31263,2531,10536,3782,26166,1305,8191,33509,25165,20963,17568,45987,28653,9077,37811,23293,4860,30328,6240,30239,21886,40007,19220,10959,48883,31398,2507,8197,7626,7735,6541,17624,7364,39721,24921,24812,19916,15276,17802,4047,2764,38155,46444,21609,33159,11085,23082,34979,18899,39345,31805,42301,26787,38625,25690,30219,3393,1767,41260,17795,48012,47424,42556,44647,10560,13717,1575,1951,35920,46730,10246,36058,32072,38188,10277,26272,8085,35537,42304,5175,2966,45842,43200,35586,38901,12229,9084,37257,23652,4634,27843,18883,7193,41036,389,11950,49641,14425,6921,19840,16248,44821,38922,5826,2416,33551,32025,21994,4601,41795,5405,42497,9772,44926,30698,35642,41074,10497,26208,14961,13198,22068,37800,31413,47812,22177,34697,45414,37786,10862,15770,14950,43650,20689,4933,36051,20155,19676,27301,2736,1949,24850,22062,26967,769,17978,23785,14195,21659,33342,11814,16754,21964,34998,16289,29080,31115,49336,33837,565,26589,8499,48288,8533,33754,44405,18633,21693,24091,12104,41483,7868,37468,46428,20904,18245,11179,32246,36492,10207,39159,33488,22341,28119,23070,17191,45906,17443,35802,12506,35086,42526,14356,9367,28200,29313,47461,26804,701,33638,46634,1912,42758,6887,3715,24980,48630,61,36950,17369,22776,30733,45284,41819,22768,17139,29766,15551,41439,2299,3000,7880,3098,47400,27454,28623,9698,32460,18116,43455,40516,19997,48578,18823,49169,43135,39089,9096,6178,35284,4291,785,29666,23278,29504,54,23076,13195,17246,45471,47036,37270,3278,39342,24407,19843,11609,30031,36716,11072,28071,23650,38567,6278,44400,15241,2187,28599,31182,40552,49269,43916,27174,20515,41999,28943,42858,34320,36612,31149,32061,23371,8310,31194,19612,8994,32222,16175,45879,2498,24701,23904
3,27885,5669,9731,49014,34455,24230,30825,21289,5506,31453,27262,6118,45954,48930,593,26024,7066,1538,38696,31374,20297,35623,15686,46645,42832,36548,4208,38127,36659,21311,43062,42357,29309,40140,47812,20179,11124,16084,28596,19964,4701,13640,3771,41870,48868,5497,21955,18842,21616,27332,464,11004,49478,645,24816,8447,37537,8230,25341,23664,10662,2014,9652,6122,7656,46959,13766,44732,20478,20921,37181,26107,43862,20494,37604,20992,5914,20866,40878,22403,5462,15136,2406,47049,22434,13097,34923,49932,40241,48741,38799,34515,38171,1277,29061,10509,15124,9350,14448,38947,16567,10929,18001,21464,41828,36870,25569,12903,44052,34705,17812,8975,55,8538,4145,17136,39962,13576,30387,29096,3191,31989,9538,26974,31539,4806,33800,13402,34102,16489,26366,44040,5281,15951,30078,5221,20127,46189,18731,44003,23558,4810,42222,49838,34868,46664,48568,35936,10260,29480,10528,29853,16658,23260,47662,41306,45651,3674,4365,38602,40073,1956,35860,24094,8011,2581,44647,13395,47718,21939,32622,6501,24157,28130,33217,47423,44995,31886,10436,2758,41555,37800,44391,4907,16180,31403,20241,28045,24733,30855,32085,27324,41859,47515,14100,44260,9227,42633,48588,3586,30636,40911,2873,31521,36605,38381,49212,7083,9194,10510,21054,22185,10939,41870,45056,37087,25885,23564,16297,13736,33437,16581,26802,17119,33117,33514,16025,29352,26716,49771,5142,16723,15662,22599,41085,49007,6362,42146,37259,28437,2554,8689,27652,7980,4899,17724,23690,25256,46930,28874,41733,19789,957,34746,48605,20359,7789,36929,47960,14676,26959,377,9631,14220,3982,20904,46475,36310,24852,37382,12247,27745,1582,42924,7577,46081,16907,10987,24125,31210,2051,48461,43767,35266,8807,37203,35938,43614,34576,14863,2819,28658,43665,37379,14138,34290,44080,15010,33595,4125,671,23075,39638,43377,36863,2200,14432,20362,24327,14076,8104,44759,31087,46783,37888,26078,6389,45971,11630,49203,25443,38949,7882,7376,33952,32665,4801,36914,42806,16460,44410,43130,43803
4,29091,42133,39784,10279,17327,34756,8868,14518,12950,25379,21525,44328,28771,46594,6983,45212,10095,43022,42576,8756,239,35342,37430,10807,48346,47488,22443,5493,47697,13005,34850,17115,16316,30217,36288,48662,41128,17130,2086,42764,12573,11050,19336,44844,23792,19236,6112,18497,46611,3469,48026,4890,22916,32063,34406,8001,41924,44034,42195,37783,6962,45757,43231,48632,19507,13984,5975,17383,6089,1966,18332,278,43469,9786,16853,15559,36942,35297,37864,36896,38862,32949,35864,11498,37223,21449,37236,12418,44504,8086,19494,12135,21403,18648,26136,13729,44654,32677,8612,33493,41887,42104,12102,278,30980,18706,14824,41686,19731,21392,10649,24362,44834,30664,38327,45581,6975,46039,12895,23017,17293,33643,17771,19120,10339,25419,45595,15219,28091,40920,31997,21835,33522,40115,43638,26009,35725,23126,34828,32121,41946,14152,40127,20521,31010,40787,32179,26743,32359,11247,45077,21,6264,22131,2760,7183,46195,33597,26543,8035,1538,27413,48186,11278,38824,24087,3920,44674,23775,29240,10579,17845,25028,18547,19373,29,21068,27759,2695,12795,24779,35169,7313,30627,16868,45616,22614,44203,41240,29236,35903,9578,35240,30288,39500,32461,34329,26777,36710,2490,36601,49998,9440,3413,40226,40479,43315,47488,7259,29259,43790,4553,40287,46658,29778,44693,26768,30574,8941,10062,26623,48872,32570,25374,16662,48623,24601,19159,36576,17200,43994,20724,47180,9192,43467,2798,24541,46379,15336,32277,41305,1628,35051,31430,24953,827,42899,32225,17570,27065,32488,42695,46128,3115,48542,49195,3260,41037,16709,31921,16156,42154,8318,6920,30010,43982,28041,3824,40750,44153,10963,47527,35078,24765,10497,13500,43618,24071,41852,17874,7598,21282,7723,39071,38848,47171,1135,43905,35033,30615,37592,5471,23439,24690,14786,7774,28166,47590,15160,20197,8273,40272,20407,7554,28484,39949,41844,10655,8290,34243,22588,25951,19133,16964,21351,9729,24395,14409,34729,38458,34216,44551,15062,46595,34184,26050,37497,32556,13436,30650,42337,36407,8018
5,38195,29449,47632,20902,20772,10640,13734,49321,25646,39484,45459,47537,42840,17574,127,13789,24058,32815,45819,10892,23659,28679,22116,45937,38405,8981,30920,24801,26459,12994,4077,2344,34214,26573,38510,24349,36494,34909,39217,40587,39261,29731,26698,48543,11577,29319,2591,29895,38894,11681,19376,37278,2625,16399,34626,11783,33641,37256,37075,44627,39476,27600,43535,32086,3690,20663,20296,32416,41757,20884,15375,45679,37529,41314,42442,17735,35104,31251,32833,22304,2314,27552,5465,24826,46680,40846,20659,41685,48394,27803,20299,48966,25589,24996,5928,44097,19583,6923,19676,16374,11137,26739,25968,24289,28654,36083,26230,26411,44879,13529,43085,8488,42806,3037,47053,37480,23815,29982,14179,18593,5173,12889,20620,18286,24657,34604,33932,14694,26436,31282,39086,22427,33633,27150,31670,10623,49458,510,9671,12625,17376,29054,29362,47272,14715,7499,11923,155,41051,47828,9126,44994,31840,14772,14544,44238,12477,48607,22636,34083,26654,37384,10112,567,16645,47681,26897,42445,2295,39219,25005,44707,9371,45856,36847,11046,10741,37350,31336,7971,27271,25726,45112,36226,25366,28797,19913,15636,18269,199,28055,26626,33503,23860,8589,26495,9185,38334,7345,11443,8045,19794,40439,48539,43470,8667,47719,48898,19538,46588,1019,12940,5850,31637,13652,18431,32413,49915,9460,49383,47751,22289,37555,46604,8885,31110,3150,1597,381,33815,20750,28580,48371,28930,5682,28031,24052,37754,15055,36626,14890,20813,29758,20830,40622,43050,18909,2282,42019,42734,3237,9845,43671,24696,35196,2301,32175,19253,12020,5906,14632,36995,37164,12384,30110,17984,32536,11530,5375,26122,22632,40178,36504,32387,8144,19100,6592,36103,3030,34603,17563,46148,13375,48832,49647,21411,14996,4703,47698,39281,49161,26367,36472,38035,5785,32563,35253,20653,32587,45046,27722,2999,5136,46593,45747,1795,28338,25383,24514,35067,29059,15587,37039,19384,43838,18013,42494,12739,36320,15713,26135,14247,15108,17960,34507,2591,29189,24918,28960,8530,26520,36935,19437
6,25873,46477,5334,40062,45006,22346,38876,17401,15745,27515,20554,30292,29664,1313,43238,33658,11569,30847,11144,32670,22983,11724,24869,27885,29191,11031,15607,1621,12039,34054,20765,21505,31081,47649,41857,37540,46800,32440,27615,37229,4176,882,20839,6544,47193,44884,22334,28183,31056,10755,38175,48474,31337,49936,21381,44963,2741,5728,23349,3058,1764,21002,36780,37607,10263,13005,25228,16730,41820,4523,186,32489,14985,5237,47405,8907,12811,3992,32598,6996,29934,46285,15603,15493,49103,43661,15646,27549,37447,44814,40859,13193,29761,39442,28630,42023,49129,22259,3437,38273,7369,19304,26656,38424,44140,39523,3659,843,19933,7364,6516,32364,21354,10134,32125,38976,40361,28147,14915,15889,37704,21695,36077,4846,33467,39260,36300,20640,48124,40315,44454,43565,13741,23034,46502,23159,48077,12670,28723,44276,33179,49993,37353,23551,49604,16872,17914,1058,22667,2101,33901,38271,11076,22077,11202,13872,11931,31920,12283,36662,39265,913,43845,46033,32103,7488,1592,38619,21619,11295,28118,23668,31038,1720,26151,17942,46488,41647,35634,27337,25210,7826,44219,38087,29616,29399,49906,24199,18548,1233,45320,29370,12610,21808,40459,27857,33234,25256,2764,7280,1631,32282,123,43269,11557,24144,31166,48975,47832,24852,38363,30159,3036,31947,17461,12020,24837,46836,21821,18627,7492,27278,9296,42604,43573,262,738,35007,38329,4400,31653,34798,5031,13249,43745,18275,17033,36120,24496,237,39771,2496,45299,19678,17169,19008,9097,25804,45995,48891,43051,6750,297,39623,35579,11852,40556,33657,42639,49075,2066,8764,38518,26982,40779,40163,21916,3103,12618,21565,8021,12964,46629,14063,10670,41497,12204,14312,3535,18944,4114,48074,45228,5229,49873,2417,17494,30754,12973,46849,48726,40584,42888,40877,26855,23948,26235,1351,2582,44878,47006,41309,21862,30530,30958,7371,42942,13511,13483,5162,1804,45476,43114,48654,25830,30667,13178,37662,48456,40537,9628,37206,8554,25045,27869,1321,7644,49605,39505,31254,31176,34957,41604
7,11395,17555,21038,17541,11915,9762,16211,24331,433,33206,1115,43312,6154,6726,29494,19752,47551,36805,33723,39194,43525,5224,16373,32524,30203,10683,38607,45302,8609,40139,24526,1581,35955,11533,14541,10926,43611,23281,4924,3215,2524,23003,10722,17948,24543,39535,22072,44405,8343,40717,10120,12608,44237,48243,18548,24639,3170,6567,20361,28772,37392,28992,40009,26174,32365,19014,38746,23054,12753,23924,31518,25667,44969,41967,4630,7161,45582,46768,5305,812,33158,16375,21021,30101,17382,47149,5216,5815,34404,7661,21685,18028,28586,18463,2503,2952,20680,17410,27994,25613,30030,18364,26183,35664,13543,17423,14630,10103,28437,3306,36630,43845,40055,32398,4799,48000,37658,34331,39205,7951,35122,25696,37958,8750,44132,48342,9255,40382,21470,34163,42553,10169,25703,4465,48015,27222,47031,2553,43245,9130,21568,22854,24745,38124,40497,47708,15912,301,12222,10381,33983,19647,17693,45589,5970,29046,34932,25446,7539,10720,42035,32899,15117,35990,28958,27075,22492,3976,19824,14753,31952,49457,38991,45945,42892,19675,36074,38850,33420,21116,13205,836,17513,38721,25979,45460,20503,37144,30225,14992,14069,32463,23740,49925,24455,32880,29712,41202,9623,20859,36699,12811,19677,11949,37395,48022,33622,44260,48649,3438,39011,22070,26231,49784,13103,30222,13177,42759,49424,20157,19341,6626,16052,35110,26990,30892,5308,46105,7079,20404,15691,21702,12604,41445,14063,9745,31494,9434,26968,5328,13488,39326,23797,26598,20373,28902,5545,8041,19031,13611,22285,15213,6157,2794,20734,958,10535,22528,33417,27856,34154,11207,21441,7475,19381,43287,31773,17294,48,4051,42617,24745,23521,3485,11531,15250,22706,14667,41998,2999,20132,22141,37295,9392,20892,31994,8460,42031,5834,4596,9711,21527,46454,8012,27209,10409,31526,12882,31878,12701,7188,20071,7955,21522,24027,13784,18791,34358,16806,28680,40276,47479,34838,26445,44504,36542,49593,25441,10989,40313,30934,46424,39742,5721,31474,35944,15680,35423,42088,11771,5139,36034,31112
8,9021,13636,29976,10563,22646,49409,32538,14162,3865,43745,27544,42372,14008,39818,4687,21414,13593,11433,24042,42314,49060,47312,41875,5903,24668,38945,6416,16641,1165,16627,36307,44530,9648,31934,48028,12528,41466,44385,6785,2978,41009,38330,23987,34611,34373,41519,16202,47783,43414,23257,14195,8530,18250,49771,20290,40490,14703,36809,43572,41622,17924,3069,2556,21127,4332,20104,46725,26946,10634,6665,11730,39549,1896,36012,14768,20811,7904,2791,34553,19482,9667,48901,44154,28314,27752,35964,30972,43326,534,11365,17467,30717,22749,21726,14488,13022,28924,34517,1224,4649,20431,16759,4200,21082,2077,7345,21771,35906,17909,17707,18709,10662,44396,42188,34800,48393,35929,7187,6060,17070,27461,18375,43744,27184,44050,22727,3661,17179,11615,6690,38539,31645,41770,29916,715,17266,6072,48041,46587,21317,10649,17094,40012,34440,39779,49943,19195,26484,8323,7862,5910,20742,15379,37107,43184,4331,15993,1205,20147,11384,46036,41355,338,18268,7597,5230,32837,28329,36568,3924,12427,48947,14183,15425,46025,8779,27611,17640,13428,24426,11228,22919,40161,10132,12710,2808,45109,8263,37947,41612,32093,32251,31721,26119,3671,36436,19111,30024,4454,21098,2916,38786,13519,13328,23457,19245,45201,29745,9555,8244,49484,14360,32518,20873,33195,38247,25981,4263,30794,38652,37181,2690,6410,45027,13661,31214,21742,23861,24747,16265,17926,26747,2817,2480,34737,41208,13941,48412,8615,15657,20215,23016,21938,31500,11340,39567,32102,30673,27140,29995,4867,48094,30074,14016,6376,14223,24592,16256,45113,6048,3629,33066,37889,12355,36968,901,42235,32707,11177,22911,7961,546,16155,22506,19113,34261,33503,43231,24602,24480,14683,10088,7581,15150,31489,20179,37059,19424,3867,40573,38632,44595,15464,379,30098,27049,35840,7025,31282,7322,2975,3342,25200,49915,46138,23112,44823,40556,27108,44208,40712,34104,17954,49379,37023,3744,28673,13619,37538,36434,13598,5014,28273,28451,12792,28178,40675,49960,45476,20991,21142,7083,2459
9,24485,4786,39562,7070,12744,19273,18568,22046,15639,5229,33222,35943,3697,39693,44979,13796,41638,7288,12506,38827,43294,40365,31885,45524,26232,11334,11391,46475,1140,38731,30188,30556,42715,8151,2097,26020,48749,21231,34172,43439,9192,4509,19699,25767,48178,34287,47090,10080,9963,2538,12939,3226,41358,35680,31480,7725,3528,41178,12016,18018,5830,43925,37043,29716,29389,14352,37704,25779,21251,8197,38454,21012,22742,13676,71,23560,11138,46073,4941,42048,18339,44183,40688,26073,48936,4257,6539,11490,758,15222,3389,12785,1002,18948,5703,26432,47319,8165,43866,42101,44427,9465,5854,28790,39629,30393,9686,38417,15797,44808,18340,15514,4021,24742,20594,10862,404,49528,14239,1603,28890,31159,34522,40520,1476,40227,13837,1535,26505,23422,38399,37583,26414,27780,15573,26366,2433,22940,28519,38132,408,16135,19191,42775,43613,9917,36373,33925,31099,6200,34833,1862,1249,38187,33671,11682,23547,14536,14263,6046,12553,43261,30969,45620,41213,3135,45303,6392,12278,36751,39463,43050,44204,38571,21989,9830,35714,40605,3054,5500,1004,21223,18038,42154,23565,23611,20081,37267,8914,25725,8504,10759,2010,5461,21540,20328,7023,17022,45600,200,46388,27154,17303,44202,2892,12887,21144,6412,27535,41117,31967,47657,27602,40743,28721,33065,5410,10908,19324,18221,4043,18755,13339,41021,28538,22350,27772,10193,15340,47457,23905,26163,39296,45305,31666,39190,24017,12343,3072,19743,42812,30588,39317,32912,9655,23178,17853,1318,33199,17497,27128,35781,27133,35723,16966,30184,44807,23840,43419,4002,20626,43851,46505,1801,44803,46970,17444,46112,48925,7260,48461,23807,9181,44309,6611,45843,24765,35853,42995,24162,12542,20270,39378,42605,39847,27025,14492,23693,1642,14836,47273,13347,1094,38222,2539,5032,35892,30515,23317,40666,9447,43521,21880,10539,5069,38907,4122,8463,6043,21970,12183,21240,16229,48042,8446,25070,14370,28074,4740,37127,4559,41237,15289,37636,26395,2030,12416,45883,41164,2971,10610,6040,35859
